id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
952779,Light-Filled Capitol Hill Studio,Apartment,Entire home/apt,2,1,1,145.00,0.00,5,108,97,flexible,2.12
14893473,"Lovely, modern 2BR, 15-min walk from the Capitol",Apartment,Entire home/apt,5,1,2,184.00,50.00,2,7,97,flexible,0.91
8423818,2BR Rowhouse Steps from H St NE,Townhouse,Entire home/apt,5,1.5,2,105.00,50.00,3,36,87,strict,1.83
4786526,"3br Walk to National Mall, H St",House,Entire home/apt,6,2.5,3,249.00,0.00,2,3,100,moderate,0.1
6424894,Beautiful Townhouse @ Union Stn + H,House,Private room,1,1.5,1,80.00,50.00,1,20,94,flexible,0.83
9406748,Bright Apt. Near Union Station,Apartment,Entire home/apt,2,1,1,115.00,0.00,2,8,95,flexible,0.52
3542880,Union Station/Capitol Hill Flat,Apartment,Entire home/apt,4,1,1,115.00,10.00,2,110,93,moderate,3.25
14487218,{Contemporary Urban Retreat},Apartment,Entire home/apt,7,1,2,144.00,75.00,3,30,95,strict,4.05
4263520,"H Street NE - Parking, Pets ok, DC City Inspected!",House,Entire home/apt,6,1,1,130.00,15.00,2,129,94,flexible,4.66
18484797,Delightful D Street Studio!,Apartment,Entire home/apt,2,1,0,69.00,0.00,1,0,,flexible,
789898,lovely Capitol Hill/H St Apt,Apartment,Entire home/apt,4,1,1,125.00,10.00,2,105,85,moderate,2
5867727,Modern open layout 1 bed apartment,Apartment,Entire home/apt,3,1,1,115.00,55.00,2,15,97,moderate,0.59
14551241,Sunny BR in uniquely new rowhouse,House,Private room,2,1.5,1,70.00,0.00,1,8,100,flexible,1.05
2098615,Live Like A DC Native [Cozy Pied-à-Terre],House,Entire home/apt,8,2.5,2,144.00,44.00,2,64,97,moderate,1.63
11732393,Private Condo - Walk To H Street,Condominium,Entire home/apt,2,1.5,1,112.00,20.00,1,53,94,strict,4.26
17465579,Guest room for travelers on the go,Apartment,Private room,2,1,1,70.00,0.00,2,8,95,moderate,3.53
1411975,Stylish Terrace Level Cap Hill Apt2017 renovation,Apartment,Entire home/apt,4,1,1,145.00,15.00,1,164,96,strict,3.56
17861556,Capitol Hill 1br/1ba private room near the metro!,House,Private room,1,1,1,99.00,0.00,1,1,100,flexible,1
16845669,Close to Capitol and National Mall,Apartment,Entire home/apt,4,1,0,325.00,0.00,1,1,100,flexible,0.27
16321336,Capitol Hill Private Bedroom and Bathroom,Townhouse,Private room,2,1,1,300.00,30.00,2,1,100,strict,0.27
16780072,Apartment in Historic Capitol Hill,Apartment,Entire home/apt,2,1,1,600.00,0.00,1,0,,flexible,
2460367,Pilgrims Guest Quarters - Spacious 2 bedroom,Apartment,Entire home/apt,6,1,2,275.00,25.00,3,12,90,strict,0.36
10717839,Stylish 1BR near DC's vibrant H St!,Apartment,Entire home/apt,4,1,1,99.00,15.00,3,50,98,moderate,3.78
11143821,Comfortable and spacious apartment,Apartment,Entire home/apt,5,1,2,50.00,0.00,1,0,,flexible,
16362336,"Spacious, Sunny Home off H St Ne w/ off st parking",House,Entire home/apt,8,2.5,3,1300.00,0.00,3,0,,flexible,
16417812,Modern 1 bedroom apt - 5 min walk to union station,Apartment,Entire home/apt,3,1,1,200.00,0.00,10,0,,flexible,
11436319,Renovated Rowhouse in Capitol Hill,House,Entire home/apt,6,1.5,3,200.00,0.00,1,4,93,flexible,0.3
14483603,Modern 1BR with Rooftop Pool,Apartment,Entire home/apt,3,1,1,137.00,0.00,1,6,90,moderate,0.67
7110732,Spacious Row home on H street,House,Entire home/apt,6,2.5,2,200.00,50.00,4,28,97,moderate,1.3
7080111,History w/Amenities on Capitol Hill,Apartment,Entire home/apt,4,1,1,125.00,10.00,1,8,91,moderate,0.36
2689136,"Best Sleep in Sunny, Quiet 1Br in Capitol Hill!",Apartment,Entire home/apt,3,1,1,129.00,20.00,1,41,85,strict,1.27
2263105,Comfortable 1BR on Capitol Hill ,Apartment,Entire home/apt,4,1,1,95.00,0.00,2,136,94,moderate,3.45
12683014,Historic Capitol Hill 1 Bedroom Apt,Apartment,Entire home/apt,4,1,1,158.00,7.00,1,15,99,strict,1.27
11798245,Historic | Capitol Hill | Row Home,House,Entire home/apt,6,2,2,225.00,15.00,2,23,100,strict,1.89
16352908,Luxury Three Bedroom/Two Bath in Downtown DC,Apartment,Entire home/apt,6,2,3,2100.00,0.00,3,0,,flexible,
