ID,name,sex,age,height,weight,team,year,season,city,sport,event,medal
931,Nyakisi Adero,F,30,NA,NA,Uganda,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
944,Haydy Morsy Adil,F,16,168,58,Egypt,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,NA
954,Adiyasambuu Tsolmon,F,23,165,65,Mongolia,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,NA
961,"Bradley Don ""Brad"" Adkins",M,22,188,80,United States,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,NA
1004,Aurimas Adomaviius,M,22,204,100,Lithuania,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,NA
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1017,Nathan Ghar-Jun Adrian,M,27,198,100,United States,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1018,Vera Adrian,F,22,168,57,Namibia,2016,Summer,Rio de Janeiro,Cycling,"Cycling Women's Road Race, Individual",NA
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,37,170,65,Brazil,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
1035,Erkin Adylbek uulu,M,25,190,80,Kyrgyzstan,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,NA
1052,Jasper Aerents,M,23,191,86,Belgium,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,NA
1052,Jasper Aerents,M,23,191,86,Belgium,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
1068,Brian O'Neill Afanador Prez,M,19,175,68,Puerto Rico,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,NA
1074,Khairulnizam Mohd Afendy,M,23,182,70,Malaysia,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,NA
1082,Ahmed Afifi,M,28,194,92,Egypt,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
1087,Evelina Afoa,F,17,162,60,Samoa,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,NA
1092,Paixo Afonso,M,25,176,80,Angola,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,NA
1093,Marina Anatolyevna Aframeyeva,F,25,171,62,Russia,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",NA
1095,Cecil Sebastian Afrika,M,28,175,75,South Africa,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1098,Khristos Afroudakis,M,32,188,88,Greece,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,NA
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,South Africa,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
1114,Luca Agamennoni,M,35,187,93,Italy,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxed Eights,NA
1131,Clarisse Agbegnenou,F,23,164,66,France,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
1145,Maia Kristiane Agerup,F,21,172,NA,Norway,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,NA
1146,Ragna Agerup,F,21,168,NA,Norway,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Skiff,NA
1162,Levon Aghasyan,M,21,193,75,Armenia,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
1173,Yannick Agnel,M,24,202,90,France,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,NA
1195,Salvador Jos Milhazes Agra,M,24,168,70,Portugal,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
1203,Renzo Pasquale Zeglio Agresta,M,31,181,76,Brazil,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Sabre, Individual",NA
1213,Norisbeth Isais Agudo Gonzlez,F,24,163,55,Venezuela,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,NA
1234,Alessandra Aguilar Morn,F,38,165,50,Spain,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
1242,Evelis Jazmin Aguilar Torres,F,23,173,64,Colombia,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
1243,Felipe Aguilar Mendoza,M,23,191,72,Colombia,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
1244,Felipe Aguilar Schler,M,41,170,72,Chile,2016,Summer,Rio de Janeiro,Golf,Golf Men's Individual,NA
1247,Iaki Aguilar Vicente,M,32,189,82,Spain,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,NA
1254,Macarena Aguilar Daz,F,31,170,67,Spain,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,NA
1262,Sandra Aguilar Navarro,F,23,167,50,Spain,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
1265,Yulenmis Aguilar Martnez,F,20,165,66,Cuba,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,NA
1271,Tomas Alonso Aguilera Armendariz,M,27,202,95,Mexico,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,NA
1277,Carolina Aguirre Giraldo,F,20,160,59,Colombia,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,NA
1277,Carolina Aguirre Giraldo,F,20,160,59,Colombia,2016,Summer,Rio de Janeiro,Archery,Archery Women's Team,NA
1279,rick Germain Aguirre Tafolla,M,19,170,60,Mexico,2016,Summer,Rio de Janeiro,Football,Football Men's Football,NA
1281,Gabriela Aguirre,F,30,164,58,Argentina,2016,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,NA
1290,Marcelo Vctor Aguirre,M,23,174,66,Paraguay,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,NA
1301,Sri Wahyuni Agustiani,F,21,147,47,Indonesia,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
1320,Kelsie Ahbe,F,25,170,63,Canada,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,NA
1356,Christian Ahlmann,M,41,189,80,Germany,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",NA
1356,Christian Ahlmann,M,41,189,80,Germany,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
1374,Tontowi Ahmad,M,29,179,72,Indonesia-1,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold
1377,Elaheh Ahmadi,F,34,160,62,Iran,2016,Summer,Rio de Janeiro,Shooting,"Shooting Women's Air Rifle, 10 metres",NA
