id,listing_url,neighbourhood,neighbourhood_cleansed,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
27635713,https://www.airbnb.com/rooms/27635713,Charlestown,Charlestown,Boston,MA,2129,42.37426775,-71.06268082,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Baby monitor"",""High chair"",Crib,""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Paid parking on premises""}",269.00,300.00,70.00,2,$20.00 ,1,14,2,8/23/2018,9/6/2018,100,10,9,10,10,9,9,moderate,3,2
27639994,https://www.airbnb.com/rooms/27639994,South End,South End,Boston,MA,2116,42.34552528,-71.07334136,House,Private room,1,2.5,1,1,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",Other}",90.00,0.00,0.00,1,$25.00 ,1,1125,12,8/16/2018,9/10/2018,98,10,10,10,10,10,10,flexible,3,12
27640582,https://www.airbnb.com/rooms/27640582,Back Bay,Back Bay,Boston,MA,2116,42.35218317,-71.08085107,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Self check-in"",Lockbox,""Private living room""}",198.00,0.00,25.00,1,$0.00 ,3,7,1,9/8/2018,9/8/2018,100,10,10,10,10,10,8,flexible,1,1
27652295,https://www.airbnb.com/rooms/27652295,Back Bay,Back Bay,Boston,MA,2115,42.34922367,-71.0888329,Apartment,Private room,3,1.5,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",Other}",85.00,,70.00,1,$25.00 ,1,1125,3,8/29/2018,9/12/2018,100,10,10,10,10,10,10,strict_14_with_grace_period,26,3
27653076,https://www.airbnb.com/rooms/27653076,Back Bay,Back Bay,Boston,MA,2115,42.34924339,-71.08887572,Apartment,Private room,2,1.5,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",75.00,,80.00,1,$25.00 ,1,1125,1,9/11/2018,9/11/2018,100,10,8,10,10,10,10,strict_14_with_grace_period,26,1
27653956,https://www.airbnb.com/rooms/27653956,Back Bay,Back Bay,Boston,MA,2115,42.34294944,-71.08309999,Apartment,Entire home/apt,3,1,0,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",400.00,200.00,50.00,1,$0.00 ,1,1125,1,9/13/2018,9/13/2018,80,6,10,10,10,10,10,strict_14_with_grace_period,8,1
27654558,https://www.airbnb.com/rooms/27654558,Back Bay,Back Bay,Boston,MA,2115,42.34897693,-71.08874539,Apartment,Private room,3,1.5,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",99.00,,80.00,1,$30.00 ,1,1125,2,8/29/2018,9/8/2018,100,10,9,10,10,10,10,strict_14_with_grace_period,26,2
27654594,https://www.airbnb.com/rooms/27654594,South Boston,South Boston,Boston,MA,2127,42.33614962,-71.03735667,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",499.00,0.00,100.00,1,$0.00 ,3,1125,0,,,,,,,,,,strict_14_with_grace_period,52,
27658502,https://www.airbnb.com/rooms/27658502,North End,North End,Boston,MA,2113,42.36429242,-71.05296953,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",250.00,250.00,100.00,2,$10.00 ,1,30,5,8/23/2018,9/9/2018,92,9,10,10,10,10,9,strict_14_with_grace_period,4,5
27659017,https://www.airbnb.com/rooms/27659017,Roxbury,Roxbury,Boston,MA,2118,42.33701423,-71.07805396,Apartment,Private room,3,1,1,2,Real Bed,"{Wifi,""Air conditioning"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",79.00,100.00,49.00,1,$35.00 ,1,1125,1,9/10/2018,9/10/2018,100,10,10,10,10,10,10,strict_14_with_grace_period,13,1
