id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
6234417,Perfectly located chill house in DC,House,Private room,2,1,1,88,20,1,17,94,strict,0.8,FALSE
15419112,Logan Circle Luxury ~ Local Living!,Apartment,Entire home/apt,6,2,2,149,0,3,20,97,strict,2.94,FALSE
18433731,Spacious Studio in Logan Circle,Condominium,Entire home/apt,2,1,0,89,0,2,1,100,moderate,1,FALSE
17811102,Huge 2bd/2.5bth Townhouse wth patio; garage prking,Townhouse,Entire home/apt,6,2.5,2,220,45,2,10,100,strict,6.38,FALSE
6084012,"Spacious 2BD, Walking Distance to Cherry Blossoms!",Apartment,Entire home/apt,6,1,2,250,0,3,12,100,strict,0.53,FALSE
10605858,Fantastic studio in Logan Circle,Apartment,Entire home/apt,2,1,0,90,0,4,3,93,strict,0.2,FALSE
14341370,"Newly renovated gem, heart of DC!",Apartment,Entire home/apt,2,1,1,125,0,3,37,99,moderate,3.99,FALSE
16503981,Heart of DC,Apartment,Private room,2,1,1,300,50,2,1,100,moderate,0.28,FALSE
16611525,Studio apartment located in the heart of DC,Apartment,Entire home/apt,4,1,0,150,0,2,5,80,strict,1.69,FALSE
10702816,Charming 1BR Rowhouse Apt with Loft,Apartment,Entire home/apt,4,1,1,109,0,2,3,100,moderate,0.22,FALSE
15552424,3BR Home blocks from Logan Circle!,House,Entire home/apt,10,2.5,3,299,0,1,8,88,strict,2,FALSE
16404369,Spacious Apartment on Charming Tree-Lined Street,Apartment,Entire home/apt,2,1,1,109,0,1,42,98,moderate,9.4,FALSE
17927464,Luxury Logan Circle Apartment. Downtown DC.,Apartment,Private room,2,1,1,90,20,2,2,100,moderate,2,FALSE
15552175,Stay in the Heart of Logan Circle,Apartment,Entire home/apt,4,1,1,200,0,3,3,100,strict,2.43,FALSE
6018637,Large room near Convention Center,House,Private room,2,1.5,1,82,10,2,131,93,flexible,5.23,FALSE
8115792,Historic Townhouse Apt Dupont Logan,Townhouse,Entire home/apt,4,2,2,172,40,3,40,94,moderate,1.95,FALSE
16469306,"Gorgeous 1 Bedroom, amazing location!!",Apartment,Entire home/apt,3,1,1,450,0,2,3,90,moderate,0.82,FALSE
